category,type,id_s,companny_name,products_href,href,last_price,actual_price
Shampoo,perros,,Mascotify,https://mascotify.pe/perros/cuidado-e-higiene/shampoo/arm-hammer-odor-control-kiwi-blossom-spray/,,,
Accesorios y otros,perros,,Mascotify,https://mascotify.pe/perros/accesorios-y-otros/platos-bebederos/ferplast-contenedor-feedy-para-comida-seca/,,,
Suplementos y vitaminas,gatos,,Mascotify,https://mascotify.pe/perros/cuidado-e-higiene/suplementos-y-vitaminas/hematolic-suplemento-nutricional-para-perros-y-gatos/,,,
Accesorios y otros,perros,,Mascotify,https://mascotify.pe/perros/accesorios-y-otros/collares-y-arneses/zeedog-arnes-air-mesh-pink-led-para-perros/,,,
Alimento,gatos,,Mascotify,https://mascotify.pe/gatos/alimento-gatos/alimento-humedo-gatos/brit-care-fillets-in-gravy-tender-turkey-salmon-85gr/,,,
Arena y cuidado,gatos,,Mascotify,https://mascotify.pe/gatos/arena-y-cuidado/arena/intersand-simple-x-10kg-arena-para-gatos/,,,
Alimento húmedo,gatos,,Mascotify,https://mascotify.pe/gatos/alimento-gatos/alimento-humedo-gatos/hills-sd-adult-7-tender-tuna-dinner-alimento-para-gatos-senior/,,,
Antipulgas,perros,,Mascotify,https://mascotify.pe/perros/cuidado-e-higiene/antipulgas/nexgard-spectra-2kg-a-3-5kg-antipulgas-y-antiparasitario/,,,
Alimento,gatos,,Mascotify,https://mascotify.pe/gatos/alimento-gatos/alimento-humedo-gatos/bravery-pechuga-de-pollo-y-zanahoria-gatos-castrados/,,,
Accesorios y otros,perros,,Mascotify,https://mascotify.pe/perros/accesorios-y-otros/platos-bebederos/zeemat-lime-bandeja-de-comedero-para-perros/,,,
Alimento húmedo,perros,,Mascotify,https://mascotify.pe/perros/alimento/alimento-humedo/monge-vetsolution-canine-recovery-150gr/,,,
Shampoo,perros,,Mascotify,https://mascotify.pe/perros/cuidado-e-higiene/shampoo/suavipet-locion-desenredante-para-perros-y-gatos/,,,
Cuidado e higiene,perros,,Mascotify,https://mascotify.pe/perros/cuidado-e-higiene/panales-y-control-de-orina/home-guard-panos-de-entrenamiento-para-cachorros/,,,
Cuidado e higiene,perros,,Mascotify,https://mascotify.pe/perros/cuidado-e-higiene/antipulgas/seresto-collar-antipulgas-para-perros-8kg/,,,
Alimento húmedo,gatos,,Mascotify,https://mascotify.pe/gatos/alimento-gatos/alimento-humedo-gatos/bravery-caballa-alimento-para-gatitos/,,,
